stock,endDate,netIncomeApplicableToCommonShares,netIncomeFromContinuingOps,totalOtherIncomeExpenseNet,costOfRevenue,totalOperatingExpenses,totalRevenue,incomeTaxExpense,interestExpense,operatingIncome,ebit,grossProfit,sellingGeneralAdministrative,netIncome,incomeBeforeTax,researchDevelopment,otherOperatingExpenses,minorityInterest,discontinuedOperations
LDL,2017-12-31,49317000.0,49317000.0,-4135000,535078000,633011000,698437000,11974000,-2720000.0,65426000,65426000,163359000,93433000.0,49317000,61291000.0,,,,
LDL,2016-12-31,37187000.0,37187000.0,-5238000,426094000,506606000,566852000,17821000,-1068000.0,60246000,60246000,140758000,80512000.0,37187000,55008000.0,,,,
CPAH,2019-04-30,-5013439.0,-5013439.0,294922,2365584,16073265,10764904,0,-107323.0,-5308361,-5308361,8399320,8160094.0,-5013439,-5013439.0,5547587.0,,,
CPAH,2018-04-30,-3220670.0,-3220670.0,-426900,1629814,15175511,12381741,0,-364.0,-2793770,-2793770,10751927,8038810.0,-3220670,-3220670.0,5506887.0,,,
CPAH,2017-04-30,-2458515.0,-2458515.0,495102,1729930,13639207,10685590,0,-3056.0,-2953617,-2953617,8955660,7065464.0,-2458515,-2458515.0,4843813.0,,,
CPAH,2016-04-30,-2691595.0,-2691595.0,150214,1667087,13923167,11081358,0,-2310.0,-2841809,-2841809,9414271,7519025.0,-2691595,-2691595.0,4737055.0,,,
SSRM,2019-12-31,57315000.0,55757000.0,-27771000,329810000,492950000,606850000,30372000,-25591000.0,113900000,113900000,277040000,30929000.0,57315000,86129000.0,,3743000.0,,
SSRM,2018-12-31,6379000.0,-31000.0,-15575000,245111000,397010000,420675000,8121000,-28202000.0,23665000,23665000,175564000,32941000.0,6379000,8090000.0,,3459000.0,,
SSRM,2017-12-31,69316000.0,71466000.0,1789000,339704000,375975000,448773000,3121000,-28382000.0,72798000,72798000,109069000,20307000.0,69316000,74587000.0,,-923000.0,,
SSRM,2016-12-31,64957000.0,64957000.0,-38445000,329776000,371556000,490986000,16028000,-20101000.0,119430000,119430000,161210000,22091000.0,64957000,80985000.0,,5136000.0,,
PWR,2019-12-31,402044000.0,406815000.0,-9883000,10511901000,11529983000,12112153000,165472000,-66890000.0,582170000,582170000,1600252000,955991000.0,402044000,572287000.0,,,3539000.0,
PWR,2018-12-31,293346000.0,296007000.0,-122030000,9691459000,10591727000,11171423000,161659000,-36945000.0,579696000,579696000,1479964000,856274000.0,293346000,457666000.0,,,1294000.0,
PWR,2017-12-31,314978000.0,318225000.0,-77978000,8224618000,9034743000,9466478000,35532000,-20946000.0,431735000,431735000,1241860000,777920000.0,314978000,353757000.0,,,4058000.0,
PWR,2016-12-31,198383000.0,200440000.0,-25391000,6637519000,7318242000,7651319000,107246000,-14887000.0,333077000,333077000,1013800000,649038000.0,198383000,307686000.0,,,3275000.0,
CTIC,2019-12-31,-40020000.0,-40023000.0,-106000,0,43262000,3345000,0,-1523000.0,-39917000,-39917000,3345000,19155000.0,-40020000,-40023000.0,24107000.0,,-5758000.0,
CTIC,2018-12-31,-29400000.0,-29352000.0,2887000,879000,58529000,26290000,0,-1734000.0,-32239000,-32239000,26290000,22062000.0,-29320000,-29352000.0,36467000.0,,-5755000.0,
CTIC,2017-12-31,-45020000.0,-40831000.0,-1312000,364000,64665000,25146000,0,-2035000.0,-39519000,-39519000,24782000,31435000.0,-40670000,-40831000.0,32866000.0,,-5723000.0,
CTIC,2016-12-31,-52009000.0,-52953000.0,1286000,1377000,111644000,57405000,0,-2828000.0,-54239000,-54239000,56028000,47306000.0,-52009000,-52953000.0,62961000.0,,-5562000.0,
CG,2019-12-31,345300000.0,1184400000.0,-239100000,1410100000,1904500000,3377000000,49000000,-213900000.0,1472500000,1472500000,1966900000,494400000.0,380900000,1233400000.0,,,2351000000.0,
CG,2018-12-31,92900000.0,328900000.0,-211900000,1362900000,1855100000,2427200000,31300000,-246800000.0,572100000,572100000,1064300000,492200000.0,116500000,360200000.0,,,1858700000.0,
CG,2017-12-31,238100000.0,1007400000.0,-103800000,1961300000,2440100000,3676200000,124900000,-400600000.0,1236100000,1236100000,1714900000,478800000.0,244100000,1132300000.0,,,1932400000.0,
CG,2016-12-31,6400000.0,15300000.0,-364600000,1343300000,1864400000,2274300000,30000000,-241200000.0,409900000,409900000,931000000,521100000.0,6400000,45300000.0,,,1146100000.0,
MET,2019-12-31,5721000000.0,5909000000.0,-1061000000,49136000000,61764000000,69620000000,886000000,-955000000.0,7856000000,7856000000,20484000000,,5899000000,6795000000.0,,12628000000.0,238000000.0,
MET,2018-12-31,4982000000.0,5128000000.0,-1183000000,47920000000,60451000000,67941000000,1179000000,-1122000000.0,7490000000,7490000000,20021000000,,5123000000,6307000000.0,,12531000000.0,217000000.0,
MET,2017-12-31,3907000000.0,5006000000.0,-1302000000,45151000000,57470000000,62308000000,-1470000000,-1129000000.0,4838000000,4838000000,17157000000,,4010000000,3536000000.0,,12319000000.0,194000000.0,
MET,2016-12-31,747000000.0,3588000000.0,-1348000000,42757000000,55103000000,60732000000,693000000,-1102000000.0,5629000000,5629000000,17975000000,,850000000,4281000000.0,,12346000000.0,171000000.0,
CYBR,2019-12-31,63064000.0,63064000.0,7800000,62615000,371611000,433895000,7020000,-1966000.0,62284000,62284000,371280000,236476000.0,63064000,70084000.0,72520000.0,,,
CYBR,2018-12-31,47072000.0,47072000.0,4283000,48461000,295639000,343199000,4771000,-1966000.0,47560000,47560000,294738000,190066000.0,47072000,51843000.0,57112000.0,,,
CYBR,2017-12-31,16015000.0,16015000.0,3417000,41848000,240689000,261701000,8414000,-1966000.0,21012000,21012000,219853000,156452000.0,16015000,24429000.0,42389000.0,,,
CYBR,2016-12-31,28124000.0,28124000.0,245000,30151000,180657000,216613000,8077000,-1966000.0,35956000,35956000,186462000,115892000.0,28124000,36201000.0,34614000.0,,,
KMPH,2019-12-31,-24522000.0,-24522000.0,-4207000,2945000,33176000,12839000,-22000,-6514000.0,-20337000,-20337000,9894000,11415000.0,-24522000,-24544000.0,18816000.0,,,
KMPH,2018-12-31,-56466000.0,-56466000.0,-2325000,0,54267000,0,-126000,-7087000.0,-54267000,-54267000,0,12981000.0,-56466000,-56592000.0,41286000.0,,,
KMPH,2017-12-31,-43386000.0,-43386000.0,-10063000,0,33366000,0,-43000,-7337000.0,-33366000,-33366000,0,13229000.0,-43386000,-43429000.0,20137000.0,,,
KMPH,2016-12-31,-16516000.0,-16516000.0,17941000,0,34472000,0,-15000,-7127000.0,-34472000,-34472000,0,14394000.0,-16516000,-16531000.0,20078000.0,,,
STRA,2019-12-31,81138000.0,81138000.0,-8731000,530604000,864682000,997137000,42586000,-800000.0,132455000,132455000,466533000,272411000.0,81138000,123724000.0,,,,
STRA,2018-12-31,-15671000.0,-15671000.0,-62053000,371542000,591271000,634185000,-3468000,-700000.0,42914000,42914000,262643000,194035000.0,-15671000,-19139000.0,,,,
STRA,2017-12-31,20612000.0,20612000.0,-3930000,268943000,398275000,454851000,32034000,-600000.0,56576000,56576000,185908000,129332000.0,20612000,52646000.0,,,,
STRA,2016-12-31,34802000.0,34802000.0,2833000,242099000,386629000,441088000,22490000,-600000.0,54459000,54459000,198989000,144530000.0,34802000,57292000.0,,,,
CREX,2019-12-31,1038000.0,1038000.0,1491000,17859000,31958000,31598000,93000,-831000.0,-360000,-360000,13739000,11436000.0,1038000,1131000.0,1413000.0,,,
CREX,2018-12-31,-14897000.0,-10620000.0,-9105000,12252000,24388000,22475000,-398000,-2606000.0,-1913000,-1913000,10223000,9694000.0,-10620000,-11018000.0,1257000.0,,,
CREX,2017-12-31,-7196000.0,-6950000.0,-2935000,10309000,21752000,17698000,-39000,-1610000.0,-4054000,-4054000,7389000,8947000.0,-6950000,-6989000.0,991000.0,,,
CREX,2016-12-31,-5161000.0,-4698000.0,-1571000,6815000,17165000,13673000,-365000,-1636000.0,-3492000,-3492000,6858000,7454000.0,-4698000,-5063000.0,893000.0,,,
IRL,2019-10-31,2226141.0,2226141.0,2089903,0,1066849,1203087,0,,136238,136238,1203087,1066849.0,2226141,2226141.0,,,,
IRL,2018-10-31,-11147604.0,-11147604.0,-10968510,0,1183838,1142113,137369,,-41725,-41725,1142113,1183838.0,-11147604,-11010235.0,,,,
IRL,2017-10-31,17204593.0,17204593.0,17703581,76189,1365111,942312,76189,,-422799,-422799,942312,1365111.0,17204593,17280782.0,,,,
IRL,2016-10-31,-4968730.0,-4968730.0,-4650682,0,1369592,1051544,0,,-318048,-318048,1051544,1369592.0,-4968730,-4968730.0,,,,
CTB,2019-12-31,96404000.0,98317000.0,-73102000,2279040000,2569865000,2752639000,11355000,-31189000.0,182774000,182774000,473599000,290825000.0,96404000,109672000.0,,,63108000.0,
CTB,2018-12-31,76586000.0,80563000.0,-69169000,2352808000,2624835000,2808062000,33495000,-32181000.0,183227000,183227000,455254000,272027000.0,76586000,114058000.0,,,60400000.0,
CTB,2017-12-31,95400000.0,96745000.0,-59352000,2271708000,2551379000,2854656000,147180000,-32048000.0,303277000,303277000,582948000,279671000.0,95400000,243925000.0,,,58660000.0,
CTB,2016-12-31,248381000.0,251294000.0,-82742000,2169338000,2475034000,2924869000,115799000,-26604000.0,449835000,449835000,755531000,305696000.0,248381000,367093000.0,,,54222000.0,
WIA,2019-11-30,37341331.0,37341331.0,23682701,0,2885846,16574476,30000,-4921612.0,13688630,13688630,16574476,2885846.0,37341331,37371331.0,,,,
WIA,2018-11-30,-9620126.0,-9620126.0,-22326600,0,3101767,15808241,0,-2966157.0,12706474,12706474,15808241,3101767.0,-9620126,-9620126.0,,,,
WIA,2017-11-30,23838964.0,23838964.0,10199739,0,3736258,17375483,0,-1432675.0,13639225,13639225,17375483,3736258.0,23838964,23838964.0,,,,
WIA,2016-11-30,17437531.0,17437531.0,7664499,0,3836977,13610009,0,-535442.0,9773033,9773033,13610009,3836977.0,17437531,17437531.0,,,,
KHC,2019-12-28,1935000000.0,1933000000.0,-2907000000,16782000000,19409000000,24977000000,728000000,-1361000000.0,5568000000,5568000000,8195000000,2515000000.0,1935000000,2661000000.0,112000000.0,,126000000.0,
KHC,2018-12-29,-10192000000.0,-10254000000.0,-17723000000,17149000000,19866000000,26268000000,-1067000000,-1284000000.0,6402000000,6402000000,9119000000,2608000000.0,-10192000000,-11321000000.0,109000000.0,,121000000.0,
KHC,2017-12-30,10941000000.0,10932000000.0,-1875000000,16579000000,18751000000,26076000000,-5482000000,-1234000000.0,7325000000,7325000000,9497000000,2079000000.0,10941000000,5450000000.0,93000000.0,,213000000.0,
KHC,2016-12-31,3416000000.0,3606000000.0,-1909000000,16399000000,19452000000,26300000000,1333000000,-1134000000.0,6848000000,6848000000,9901000000,2933000000.0,3596000000,4939000000.0,120000000.0,,216000000.0,
LM,2020-03-31,243272000.0,304486000.0,-179598000,1790501000,2331993000,2922125000,106048000,-109870000.0,590132000,590132000,1131624000,331389000.0,251367000,410534000.0,,187564000.0,743456000.0,
LM,2019-03-31,-32733000.0,7934000.0,-458967000,1828045000,2415797000,2903259000,20561000,-117341000.0,487462000,487462000,1075214000,333434000.0,-28508000,28495000.0,,229914000.0,722160000.0,
LM,2018-03-31,274947000.0,336350000.0,-286526000,1992329000,2619956000,3140322000,-102510000,-117872000.0,520366000,520366000,1147993000,313558000.0,285075000,233840000.0,,289465000.0,760026000.0,
LM,2017-03-31,219872000.0,286703000.0,-94039000,1864473000,2421985000,2886902000,84175000,-113173000.0,464917000,464917000,1022429000,310299000.0,227256000,370878000.0,,221023000.0,705570000.0,
ARVN,2019-12-31,-70292227.0,-70292227.0,-18767713,0,94500992,42976478,0,-85569.0,-51524514,-51524514,42976478,27307162.0,-70292227,-70292227.0,67193830.0,,,
ARVN,2018-12-31,-239847222.0,-41480466.0,2321612,0,58125998,14323920,0,-57440.0,-43802078,-43802078,14323920,12932168.0,-41480466,-41480466.0,45193830.0,,,
ARVN,2017-12-31,-28619637.0,-24049206.0,711061,0,32339143,7578876,0,-50357.0,-24760267,-24760267,7578876,3546241.0,-24049206,-24049206.0,28792902.0,,,
ARVN,2016-12-31,-12353623.0,-14350643.0,2031369,0,23138444,6669024,-87408,-67404.0,-16469420,-16469420,6669024,3196250.0,-14350643,-14438051.0,19942194.0,,,
CVCY,2019-12-31,21443000.0,21443000.0,-946000,0,45154000,76052000,8509000,,30898000,0,76052000,39032000.0,21443000,29952000.0,,6122000.0,,
CVCY,2018-12-31,21289000.0,21289000.0,-829000,0,43775000,72513000,6620000,,28738000,0,72513000,37670000.0,21289000,27909000.0,,6105000.0,,
CVCY,2017-12-31,14026000.0,14026000.0,-2714000,0,41505000,68038000,9793000,,26533000,0,68038000,35226000.0,14026000,23819000.0,,6279000.0,,
CVCY,2016-12-31,15182000.0,15182000.0,-2573000,0,36345000,61017000,6917000,,24672000,0,61017000,31237000.0,15182000,22099000.0,,5108000.0,,
ETN,2019-12-31,2211000000.0,2213000000.0,-260000000,14338000000,18539000000,21390000000,378000000,-236000000.0,2851000000,2851000000,7052000000,3595000000.0,2211000000,2591000000.0,606000000.0,,51000000.0,
ETN,2018-12-31,2145000000.0,2146000000.0,-548000000,14511000000,18637000000,21609000000,278000000,-271000000.0,2972000000,2972000000,7098000000,3542000000.0,2145000000,2424000000.0,584000000.0,,35000000.0,
ETN,2017-12-31,2985000000.0,2986000000.0,864000000,13756000000,17900000000,20404000000,382000000,-246000000.0,2504000000,2504000000,6648000000,3560000000.0,2985000000,3368000000.0,584000000.0,,37000000.0,
ETN,2016-12-31,1916000000.0,1919000000.0,-129000000,13392000000,17500000000,19747000000,199000000,-233000000.0,2247000000,2247000000,6355000000,3521000000.0,1916000000,2118000000.0,587000000.0,,44000000.0,
REPL,2020-03-31,-52625000.0,-52625000.0,489000,0,53114000,0,0,-1919000.0,-53114000,-53114000,0,17437000.0,-52625000,-52625000.0,35677000.0,,,
REPL,2019-03-31,-30834000.0,-30834000.0,-2416000,0,28418000,0,0,-1919000.0,-28418000,-28418000,0,8773000.0,-30834000,-30834000.0,19645000.0,,,
REPL,2018-03-31,-19702000.0,-19702000.0,-2740000,0,16962000,0,0,-1919000.0,-16962000,-16962000,0,5713000.0,-19702000,-19702000.0,11249000.0,,,
REPL,2017-03-31,-7704000.0,-7704000.0,501000,0,8205000,0,0,-1919000.0,-8205000,-8205000,0,2711000.0,-7704000,-7704000.0,5494000.0,,,
APY,2019-12-31,52164000.0,52960000.0,-61049000,750555000,1011016000,1131251000,6226000,-39301000.0,120235000,120235000,380696000,258461000.0,52164000,59186000.0,,2000000.0,3254000.0,
APY,2018-12-31,92737000.0,93191000.0,-35216000,796459000,1061587000,1218156000,28162000,-27648000.0,156569000,156569000,421697000,265128000.0,92737000,121353000.0,,2000000.0,2458000.0,
APY,2017-12-31,109589000.0,110519000.0,-16269000,684066000,905842000,1010466000,-22164000,-863000.0,104624000,104624000,326400000,221776000.0,109589000,88355000.0,,2000000.0,4749000.0,
APY,2016-12-31,-12751000.0,-10900000.0,-23967000,546601000,746313000,751337000,-8043000,-477000.0,5024000,5024000,204736000,199712000.0,-12751000,-18943000.0,,2000000.0,5031000.0,
RVSB,2020-03-31,15748000.0,15748000.0,-241000,0,36022000,56841000,4830000,,20819000,0,56841000,33312000.0,15748000,20578000.0,,2710000.0,,
RVSB,2019-03-31,17266000.0,17266000.0,-84000,0,35545000,58041000,5146000,,22496000,0,58041000,32669000.0,17266000,22412000.0,,2876000.0,,
RVSB,2018-03-31,10242000.0,10242000.0,-708000,0,34910000,53615000,7755000,,18705000,0,53615000,31855000.0,10242000,17997000.0,,3055000.0,,
RVSB,2017-03-31,7404000.0,7404000.0,-1631000,0,31350000,43772000,3387000,,12422000,0,43772000,28237000.0,7404000,10791000.0,,3113000.0,,
GBT,2019-12-31,-266766000.0,-266766000.0,22818000,48000,291692000,2108000,0,,-289584000,-289584000,2060000,117088000.0,-266766000,-266766000.0,174556000.0,,,
GBT,2018-12-31,-174193000.0,-174193000.0,8549000,0,182742000,0,0,,-182742000,-182742000,0,51435000.0,-174193000,-174193000.0,131307000.0,,,
GBT,2017-12-31,-117024000.0,-117024000.0,2221000,0,119245000,0,0,,-119245000,-119245000,0,31438000.0,-117024000,-117024000.0,87807000.0,,,
GBT,2016-12-31,-82468000.0,-82468000.0,-841000,0,81627000,0,0,,-81627000,-81627000,0,20364000.0,-82468000,-82468000.0,61263000.0,,,
GSBC,2019-12-31,73612000.0,73612000.0,-5389000,0,109384000,204834000,16449000,,95450000,0,204834000,102728000.0,73612000,90061000.0,,6656000.0,,
GSBC,2018-12-31,67109000.0,67109000.0,-2081000,0,105240000,189271000,14841000,,84031000,0,189271000,99393000.0,67109000,81950000.0,,5847000.0,,
GSBC,2017-12-31,51564000.0,51564000.0,-1319000,0,104793000,176434000,18758000,,71641000,0,176434000,97915000.0,51564000,70322000.0,,6878000.0,,
GSBC,2016-12-31,45342000.0,45342000.0,-19562000,0,106119000,187539000,16516000,,81420000,0,187539000,100067000.0,45342000,61858000.0,,6052000.0,,
FICO,2019-09-30,192124000.0,192124000.0,-37476000,336845000,906535000,1160083000,23948000,-39752000.0,253548000,253548000,823238000,414086000.0,192124000,216072000.0,149478000.0,,,
FICO,2018-09-30,126482000.0,126482000.0,-18427000,312898000,824787000,1000146000,30450000,-31311000.0,175359000,175359000,687248000,376912000.0,126482000,156932000.0,128383000.0,,,
FICO,2017-09-30,133414000.0,133414000.0,-30347000,287607000,748353000,934983000,22869000,-25790000.0,186630000,186630000,647376000,337167000.0,133414000,156283000.0,110870000.0,,,
FICO,2016-09-30,109448000.0,109448000.0,-25023000,265173000,711764000,881356000,35121000,-26633000.0,169592000,169592000,616183000,328940000.0,109448000,144569000.0,103669000.0,,,
ASB,2019-12-31,309515000.0,326790000.0,-42379000,0,751610000,1200499000,79720000,,448889000,0,1200499000,704942000.0,326790000,406510000.0,,46668000.0,,
ASB,2018-12-31,321181000.0,333562000.0,-74571000,0,747226000,1235145000,79786000,,487919000,0,1235145000,691698000.0,333562000,413348000.0,,55528000.0,,
ASB,2017-12-31,218560000.0,229264000.0,-40552000,0,668581000,1047900000,109503000,,379319000,0,1047900000,618478000.0,229264000,338767000.0,,50103000.0,,
ASB,2016-12-31,189305000.0,200274000.0,-41687000,0,660873000,990156000,87322000,,329283000,0,990156000,605754000.0,200274000,287596000.0,,55119000.0,,
DLHC,2019-09-30,5324000.0,5324000.0,-3864000,124551000,149032000,160391000,2171000,-2494000.0,11359000,11359000,35840000,20525000.0,5324000,7495000.0,,,,
DLHC,2018-09-30,1836000.0,1836000.0,-1116000,105374000,124454000,133236000,5830000,-1075000.0,8782000,8782000,27862000,16838000.0,1836000,7666000.0,,,,
DLHC,2017-09-30,3288000.0,3288000.0,-1228000,89812000,109032000,115662000,2114000,-1151000.0,6630000,6630000,25850000,17466000.0,3288000,5402000.0,,,,
DLHC,2016-09-30,3384000.0,3384000.0,-1618000,67776000,81538000,85602000,-938000,-743000.0,4064000,4064000,17826000,12518000.0,3384000,2446000.0,,,,
ONDK,2019-12-31,27955000.0,23635000.0,-3200000,24664000,270186000,293508000,-3513000,,23322000,0,268844000,178461000.0,27955000,20122000.0,,67061000.0,16674000.0,
ONDK,2018-12-31,27046000.0,24635000.0,0,21209000,235537000,260172000,0,,24635000,0,238963000,156281000.0,27046000,24635000.0,,58047000.0,4533000.0,
ONDK,2017-12-31,-12069000.0,-14880000.0,0,18076000,215245000,200365000,0,,-14880000,0,182289000,148094000.0,-12069000,-14880000.0,,49075000.0,4011000.0,
ONDK,2016-12-31,-82958000.0,-85482000.0,-1100000,19719000,193974000,108492000,0,,-85482000,0,88773000,174255000.0,-82958000,-85482000.0,,49075000.0,4072000.0,
CNXN,2019-12-31,82111000.0,82111000.0,814000,2368724000,2707359000,2820034000,30568000,-103000.0,112675000,112675000,451310000,325335000.0,82111000,112679000.0,,,,
CNXN,2018-12-31,64592000.0,64592000.0,4989000,2288403000,2612836000,2699489000,24072000,-145000.0,86653000,86653000,411086000,310333000.0,64592000,88664000.0,,,,
CNXN,2017-12-31,54857000.0,54857000.0,-3538000,2529807000,2830720000,2911883000,22768000,-126000.0,81163000,81163000,382076000,289113000.0,54857000,77625000.0,,,,
CNXN,2016-12-31,48111000.0,48111000.0,-3473000,2321435000,2608666000,2692592000,32342000,-107000.0,83926000,83926000,371157000,276731000.0,48111000,80453000.0,,,,
OXBR,2019-12-31,-305000.0,-305000.0,-155000,64000,1131000,981000,0,,-150000,-150000,917000,1067000.0,-305000,-305000.0,,,,
OXBR,2018-12-31,-5749000.0,-5749000.0,2000000,10269000,11551000,3802000,0,,-7749000,-7749000,-6467000,1282000.0,-5749000,-5749000.0,,,,
OXBR,2017-12-31,-20592000.0,-20592000.0,0,43108000,44433000,23841000,0,,-20592000,-20592000,-19267000,1325000.0,-20592000,-20592000.0,,,,
OXBR,2016-12-31,2581000.0,2581000.0,0,15061000,16481000,19062000,0,,2581000,2581000,4001000,1420000.0,2581000,2581000.0,,,,
RC,2019-12-31,72315000.0,75056000.0,22918000,69736000,182192000,223778000,-10552000,,41586000,0,154042000,75880000.0,72968000,64504000.0,,36576000.0,19372000.0,
RC,2018-12-31,59041000.0,61457000.0,-448000,37773000,148986000,212277000,1386000,,63291000,0,174504000,79553000.0,59258000,62843000.0,,31660000.0,19244000.0,
RC,2017-12-31,43228000.0,45814000.0,23481000,52060000,159868000,207521000,1839000,,47653000,0,155461000,77491000.0,43290000,47653000.0,,30317000.0,19394000.0,
RC,2016-12-31,49169000.0,55564000.0,39457000,5208000,78209000,128206000,9651000,,49997000,0,122998000,50796000.0,49169000,65215000.0,,22205000.0,39005000.0,
FIZZ,2019-04-27,140853000.0,140853000.0,3942000,629755000,834170000,1014105000,43024000,-202000.0,179935000,179935000,384350000,204415000.0,140853000,183877000.0,,,,
FIZZ,2018-04-28,149774000.0,149774000.0,1301000,584599000,771546000,975734000,55715000,-201000.0,204188000,204188000,391135000,186947000.0,149774000,205489000.0,,,,
FIZZ,2017-04-29,107045000.0,107045000.0,348000,500841000,664441000,826918000,55780000,-189000.0,162477000,162477000,326077000,163600000.0,107045000,162825000.0,,,,
FIZZ,2016-04-30,60960000.0,61198000.0,-348000,463348000,611732000,704785000,31507000,-203000.0,93053000,93053000,241437000,148384000.0,61198000,92705000.0,,,,
WABC,2019-12-31,80389000.0,80389000.0,-658000,0,97895000,203769000,24827000,,105874000,0,203769000,85108000.0,80389000,105216000.0,,12787000.0,,
WABC,2018-12-31,71564000.0,71564000.0,-4836000,0,101495000,197328000,19433000,,95833000,0,197328000,86536000.0,71564000,90997000.0,,14959000.0,,
WABC,2017-12-31,50025000.0,50025000.0,-8619000,0,98524000,194315000,37147000,,95791000,0,194315000,83877000.0,50025000,87172000.0,,14647000.0,,
WABC,2016-12-31,58853000.0,58853000.0,-3507000,0,100113000,183577000,21104000,,83464000,0,183577000,84961000.0,58853000,79957000.0,,15152000.0,,
RICK,2019-09-30,19175000.0,19326000.0,-13303000,27917000,143567000,181059000,4863000,-10209000.0,37492000,37492000,153142000,106578000.0,19175000,24189000.0,,,-156000.0,
RICK,2018-09-30,20879000.0,20960000.0,-18904000,25093000,129002000,165748000,-3118000,-9954000.0,36746000,36746000,140655000,96187000.0,20879000,17842000.0,,,-103000.0,
RICK,2017-09-30,8259000.0,8282000.0,-15810000,22812000,114445000,144896000,6359000,-8764000.0,30451000,30451000,122084000,84713000.0,8259000,14641000.0,,,2480000.0,
RICK,2016-09-30,11218000.0,10469000.0,-13612000,22634000,108406000,134860000,2373000,-7982000.0,26454000,26454000,112226000,78444000.0,11218000,12842000.0,,,2584000.0,
ORI,2019-12-31,1056400000.0,1056400000.0,-40400000,2572600000,5851100000,7213700000,265800000,-40000000.0,1362600000,1362600000,4641100000,3278500000.0,1056400000,1322200000.0,,,,
ORI,2018-12-31,370500000.0,370500000.0,-42400000,2460700000,5541300000,6021800000,67600000,-42200000.0,480500000,480500000,3561100000,3080600000.0,370500000,438100000.0,,,,
ORI,2017-12-31,560500000.0,560500000.0,179000000,2478700000,5474400000,6263100000,164800000,-63000000.0,788700000,788700000,3784400000,2995700000.0,560500000,725300000.0,,,,
ORI,2016-12-31,466900000.0,466900000.0,-50500000,2347900000,5164200000,5900500000,218900000,-50200000.0,736300000,736300000,3552600000,2816300000.0,466900000,685800000.0,,,,
RYN,2019-12-31,73488000.0,82061000.0,-14454000,558350000,602101000,711556000,12940000,-19160000.0,109455000,109455000,153206000,42239000.0,73488000,95001000.0,,1512000.0,97661000.0,
RYN,2018-12-31,108136000.0,123250000.0,-20771000,605259000,646881000,816138000,25236000,-27498000.0,169257000,169257000,210879000,41751000.0,108136000,148486000.0,,-129000.0,97677000.0,
RYN,2017-12-31,151719000.0,164456000.0,-25962000,568253000,607497000,819596000,21681000,-32548000.0,212099000,212099000,251343000,40241000.0,151719000,186137000.0,,-997000.0,99917000.0,
RYN,2016-12-31,211972000.0,217770000.0,-31384000,526439000,561697000,815915000,5064000,-33464000.0,254218000,254218000,289476000,44784000.0,211972000,222834000.0,,-9526000.0,85142000.0,
SYN,2019-12-31,-16076000.0,-15380000.0,283000,0,15663000,0,0,,-15663000,-15663000,0,4580000.0,-15303000,-15380000.0,11083000.0,,-2878000.0,
SYN,2018-12-31,-25291000.0,-13421000.0,4150000,0,17571000,0,0,,-17571000,-17571000,0,5727000.0,-13367000,-13421000.0,11844000.0,,-2909000.0,
SYN,2017-12-31,-22136000.0,-15492000.0,10759000,0,26251000,0,0,,-26251000,-26251000,0,7666000.0,-15174000,-15492000.0,18585000.0,,-1914000.0,
SYN,2016-12-31,-27255000.0,-27803000.0,11449000,0,39252000,0,0,,-39252000,-39252000,0,10143000.0,-27255000,-27803000.0,29109000.0,,-1596000.0,
LODE,2019-12-31,-3805102.0,-3805867.0,1538586,1710407,5524085,179632,0,-879530.0,-5344453,-5344453,-1530775,3307195.0,-3805102,-3805867.0,,-244164.0,269541.0,
LODE,2018-12-31,-9480753.0,-9480753.0,-2080321,2930306,7550721,150289,0,-1410389.0,-7400432,-7400432,-2780017,3403833.0,-9480753,-9480753.0,,258507.0,269541.0,
LODE,2017-12-31,-10576178.0,-10576178.0,-1698212,4468901,8982295,104329,0,-1710390.0,-8877966,-8877966,-4364572,2595331.0,-10576178,-10576178.0,,787496.0,269541.0,
LODE,2016-12-31,-12964704.0,-12964704.0,-2751360,5814223,15283561,5070217,0,-753670.0,-10213344,-10213344,-744006,3518071.0,-12964704,-12964704.0,,1389362.0,269541.0,
STCN,2019-07-31,-68856000.0,-66727000.0,-40278000,667085000,841609000,819830000,4670000,-41951000.0,-21779000,-21779000,152745000,144078000.0,-66727000,-62057000.0,,,,
STCN,2018-07-31,35380000.0,36715000.0,-22200000,536788000,657545000,645258000,-71202000,-29884000.0,-12287000,-12287000,108470000,100472000.0,36715000,-34487000.0,,,,
STCN,2017-07-31,-25827000.0,-25827000.0,-5337000,400255000,454414000,436620000,2696000,-8247000.0,-17794000,-17794000,36365000,54159000.0,-25827000,-23131000.0,,,,
STCN,2016-07-31,-61281000.0,-61281000.0,-22992000,434265000,491869000,459023000,5443000,-10924000.0,-32846000,-32846000,24758000,57604000.0,-61281000,-55838000.0,,,,
NNI,2019-12-31,141803000.0,141294000.0,-16689000,100417000,835277000,1028711000,35451000,,193434000,0,928294000,476283000.0,141803000,176745000.0,,152328000.0,4382000.0,
NNI,2018-12-31,227913000.0,227524000.0,-11003000,76492000,753575000,1051231000,58770000,,297656000,0,974739000,436179000.0,227913000,286294000.0,,153008000.0,10315000.0,
NNI,2017-12-31,173166000.0,161821000.0,-46324000,58628000,527936000,800944000,64863000,,273008000,0,742316000,301885000.0,173166000,226684000.0,,126982000.0,15858000.0,
