stock,endDate,capitalExpenditures,changeToNetincome,otherCashflowsFromFinancingActivities,changeToAccountReceivables,changeToInventory,dividendsPaid,otherCashflowsFromInvestingActivities,depreciation,totalCashFromOperatingActivities,effectOfExchangeRate,repurchaseOfStock,changeInCash,netIncome,changeToOperatingActivities,totalCashFromFinancingActivities,netBorrowings,totalCashflowsFromInvestingActivities,changeToLiabilities,issuanceOfStock,investments
PTE,2018-10-31,-9221000.0,35547000.0,-30000.0,-940000.0,-238000.0,,,1494000.0,-28546000.0,,-679000.0,53294000.0,-65441000,-1289000.0,93259000.0,-74000.0,-11419000.0,2286000,93363000.0,-37182000.0
PTE,2017-10-31,-2544000.0,121593000.0,-30000.0,-940000.0,-238000.0,,,432000.0,-7583000.0,,-679000.0,11144000.0,-130829000,-190000.0,21246000.0,-74000.0,-2519000.0,1411000,3579000.0,-37182000.0
WIFI,2019-12-31,-133696000.0,9936000.0,-5845000.0,9184000.0,,,,75433000.0,108710000.0,-13000.0,-35167000.0,-109011000.0,-10296000,5314000.0,-44428000.0,-3886000.0,-173280000.0,10727000,470000.0,-39584000.0
WIFI,2018-12-31,-133354000.0,8741000.0,-25278000.0,-13702000.0,,,,82547000.0,93321000.0,-65000.0,-10536000.0,122727000.0,-1220000,5677000.0,162825000.0,188660000.0,-133354000.0,9017000,9979000.0,-39584000.0
WIFI,2017-12-31,-74458000.0,14161000.0,-125000.0,16046000.0,,,,72595000.0,97728000.0,-16000.0,-4872000.0,7200000.0,-19366000,8472000.0,-16054000.0,-20301000.0,-74458000.0,5734000,9244000.0,-39584000.0
WIFI,2016-12-31,-107331000.0,13638000.0,-410000.0,526000.0,,,,52650000.0,115205000.0,14000.0,-2827000.0,4767000.0,-27331000,5000000.0,-3121000.0,-2868000.0,-107331000.0,70540000,2984000.0,-39584000.0
GRTX,2019-12-31,-633000.0,5657000.0,,,,,,267000.0,-46661000.0,,,3545000.0,-51930000,-1361000.0,78031000.0,20000000.0,-27825000.0,77000,58031000.0,-27192000.0
GRTX,2018-12-31,-347000.0,860000.0,,,,,,127000.0,-22166000.0,,,8642000.0,-23676000,-701000.0,89844000.0,20000000.0,-59036000.0,1587000,58031000.0,-58689000.0
GRTX,2017-12-31,-319000.0,726000.0,,,,,,84000.0,-23406000.0,,,106000.0,-23545000,404000.0,89844000.0,20000000.0,23512000.0,-1012000,58031000.0,23831000.0
WTM,2019-12-31,,-504100000.0,50200000.0,,,-3200000.0,-27300000.0,29800000.0,-120500000.0,600000.0,,50700000.0,414500000,-96500000.0,230500000.0,183500000.0,-59900000.0,35800000,,225400000.0
WTM,2018-12-31,,79900000.0,32700000.0,,,-3800000.0,23400000.0,25700000.0,-31100000.0,-600000.0,,13200000.0,-141200000,-34700000.0,-414300000.0,68700000.0,459200000.0,39200000,,731000000.0
WTM,2017-12-31,,-741500000.0,71100000.0,,,-4600000.0,153000000.0,22400000.0,-62400000.0,-600000.0,,16900000.0,627200000,-25000000.0,-637100000.0,11000000.0,715500000.0,54500000,,590100000.0
WTM,2016-12-31,,-482800000.0,80500000.0,,,-5400000.0,-397200000.0,20400000.0,-178700000.0,-600000.0,,2400000.0,401800000,-149800000.0,-854600000.0,-52100000.0,1035400000.0,31700000,,1587600000.0
OSMT,2019-12-31,-3963000.0,261894000.0,,12674000.0,3078000.0,,-74000.0,51047000.0,33567000.0,175000.0,-2787000.0,25031000.0,-270901000,-15155000.0,-4691000.0,-1904000.0,-4020000.0,-16375000,,
OSMT,2018-12-31,-4144000.0,88995000.0,,-17041000.0,-7436000.0,,-74000.0,71677000.0,37558000.0,-938000.0,-2787000.0,36090000.0,-109681000,9946000.0,3604000.0,-54478000.0,-4134000.0,-11326000,,
OSMT,2017-12-31,-19395332.0,38060485.0,,5268883.0,2892119.0,,-74000.0,35600708.0,57837058.0,57237.0,-2787000.0,15184581.0,-41141811,737374.0,-23314382.0,-11370171.0,-19395332.0,588238,,
OSMT,2016-12-31,-130462837.0,19771016.0,,-12525675.0,12561233.0,,-74000.0,13357369.0,-44790643.0,-316130.0,-2787000.0,-78053416.0,-41821240,-31971376.0,420516194.0,338236474.0,-453462837.0,-14389937,,
INCY,2019-12-31,-78064000.0,150222000.0,-16766000.0,-1211000.0,-6100000.0,,,55333000.0,710656000.0,-192000.0,,668721000.0,446906000,84786000.0,45711000.0,-822000.0,-87454000.0,-20180000,63299000.0,-9390000.0
INCY,2018-12-31,-73483000.0,218304000.0,-15285000.0,-41299000.0,4043000.0,,,53769000.0,336227000.0,91000.0,,264552000.0,109493000,-45439000.0,14657000.0,-822000.0,-86423000.0,36156000,29942000.0,-12940000.0
INCY,2017-12-31,-111021000.0,232205000.0,-25941000.0,-117541000.0,4851000.0,,,52178000.0,-92988000.0,-39000.0,,247205000.0,-313142000,56389000.0,690210000.0,-822000.0,-349978000.0,-7928000,716151000.0,-238957000.0
INCY,2016-12-31,-120277000.0,117356000.0,-4906000.0,-23947000.0,4047000.0,,,26825000.0,304756000.0,-9000.0,,116881000.0,104222000,13407000.0,44622000.0,-445000.0,-232488000.0,31246000,49973000.0,30645000.0
PLUG,2019-12-31,-12215000.0,19517000.0,,10646000.0,-24481000.0,,,12687000.0,-51522000.0,53000.0,,259347000.0,-85465000,-8110000.0,325060000.0,155366000.0,-14244000.0,14863000,159645000.0,
PLUG,2018-12-31,-18643000.0,7084000.0,,-14398000.0,19041000.0,,,11707000.0,-57617000.0,-57000.0,,42098000.0,-78115000,-4654000.0,119344000.0,124577000.0,-19572000.0,-4629000,7333000.0,
PLUG,2017-12-31,-44363000.0,61007000.0,,-9951000.0,-18836000.0,,,9783000.0,-60182000.0,348000.0,,-32581000.0,-127080000,1405000.0,71616000.0,34591000.0,-44363000.0,22720000,23089000.0,
PLUG,2016-12-31,-58075000.0,3524000.0,,9280000.0,2812000.0,,,5240000.0,-29636000.0,-121000.0,,-11160000.0,-57487000,-10613000.0,76672000.0,49107000.0,-58075000.0,15848000,12153000.0,
COUP,2020-01-31,-11970000.0,80320000.0,-118738000.0,-11154000.0,,,,24953000.0,68156000.0,,,126961000.0,-90832000,-54162000.0,696655000.0,786157000.0,-637850000.0,69953000,29236000.0,-317474000.0
COUP,2019-01-31,-7528000.0,51606000.0,-639000.0,-28493000.0,,,,7342000.0,37436000.0,,,-271657000.0,-55524000,-6925000.0,21103000.0,786157000.0,-330196000.0,48934000,21742000.0,-178783000.0
COUP,2018-01-31,-4488000.0,29735000.0,-23322000.0,-10710000.0,,,,3662000.0,19626000.0,,,211004000.0,-43805000,317000.0,241941000.0,223675000.0,-50563000.0,32067000,41588000.0,-178783000.0
COUP,2017-01-31,-4491000.0,10434000.0,51000.0,-20041000.0,,,,1275000.0,-20955000.0,,,109373000.0,-37607000,-8432000.0,141569000.0,223675000.0,-11241000.0,26112000,141468000.0,-178783000.0
RPAI,2019-12-31,-75597000.0,24230000.0,-9269000.0,4830000.0,,-141528000.0,,162814000.0,231491000.0,,,-5154000.0,32397000,4228000.0,-146343000.0,4454000.0,-90302000.0,129000,,
RPAI,2018-12-31,-72936000.0,-31378000.0,-13099000.0,-8395000.0,,-145333000.0,,169950000.0,204163000.0,,,-66734000.0,77640000,-672000.0,-358172000.0,-124788000.0,87275000.0,-6398000,,
RPAI,2017-12-31,-73750000.0,-211394000.0,-449324000.0,962000.0,,-163684000.0,,199993000.0,247516000.0,,,3986000.0,251491000,-1770000.0,-851832000.0,123278000.0,608302000.0,579000,,
RPAI,2016-12-31,-51768000.0,-124180000.0,-27886000.0,-1918000.0,,-166693000.0,,220880000.0,266130000.0,,,-4879000.0,166817000,-3257000.0,-283453000.0,-80033000.0,12444000.0,2007000,,
KKR,2019-12-31,-207362000.0,-2754460000.0,1361031000.0,,,-304850000.0,,49100000.0,-5682155000.0,432000.0,-72124000.0,595904000.0,2005049000,-5309275000.0,6484989000.0,5500932000.0,-207362000.0,327431000,,
KKR,2018-12-31,-105227000.0,-218262000.0,1738805000.0,,,-355705000.0,,37300000.0,-7606475000.0,-24708000.0,-173142000.0,-1093849000.0,1131063000,-8650112000.0,6615931000.0,5405973000.0,-78597000.0,93536000,,
KKR,2017-12-31,-98122000.0,-1158392000.0,1142030000.0,,,-345337000.0,,40000000.0,-3532166000.0,79751000.0,-173142000.0,-610454000.0,1018305000,-5014046000.0,2940083000.0,2143390000.0,-98122000.0,1581967000,,
KKR,2016-12-31,-64785000.0,-302066000.0,794608000.0,,,-307643000.0,,37678000.0,-1441220000.0,-22388000.0,-296844000.0,1558327000.0,309307000,-2134876000.0,3085862000.0,2413187000.0,-63927000.0,648737000,,
BKYI,2019-12-31,-28753.0,8484597.0,-361273.0,829412.0,569710.0,,,146566.0,-1850347.0,,,-244930.0,-14588700,129162.0,2148727.0,2510000.0,-543310.0,600628,,-512821.0
BKYI,2018-12-31,-52060.0,1700224.0,-338845.0,1395097.0,-51982.0,,,100213.0,-1613475.0,,,35222.0,-6868875,804658.0,1731155.0,2510000.0,-82458.0,-329218,,-512821.0
BKYI,2017-12-31,-166060.0,1472764.0,-80366.0,-1058927.0,-481419.0,,,66435.0,-2465462.0,,,-772586.0,-4275338,393780.0,1919634.0,2510000.0,-226758.0,-92808,,-512821.0
BKYI,2016-12-31,-52975.0,915757.0,-84866.0,-258058.0,-296783.0,,,62644.0,-4446830.0,,,-3259771.0,-4189704,-267219.0,1240034.0,2510000.0,-52975.0,-435056,,-512821.0
RGS,2019-06-30,-31616000.0,21271000.0,,-17304000.0,-8492000.0,,24617000.0,33261000.0,-17524000.0,35000.0,-155138000.0,-56396000.0,-14226000,-25770000.0,-126695000.0,28443000.0,87788000.0,-5836000,,
RGS,2018-06-30,-29571000.0,-20685000.0,,-12081000.0,13940000.0,,16937000.0,39433000.0,2590000.0,-514000.0,-27211000.0,-59859000.0,6436000,-27957000.0,-62235000.0,-34230000.0,-1052000.0,-1103000,,
RGS,2017-06-30,-26572000.0,53138000.0,,724000.0,4010000.0,,-6395000.0,40722000.0,58336000.0,935000.0,-3698000.0,22208000.0,-18539000,-21903000.0,-6849000.0,-34230000.0,-30214000.0,-684000,,
RGS,2016-06-30,-23151000.0,55972000.0,,-577000.0,-7109000.0,,4024000.0,42411000.0,55786000.0,-781000.0,-101789000.0,-64933000.0,-11316000,-20986000.0,-102551000.0,-2000.0,-17387000.0,-4624000,,
VBFC,2019-12-31,-225000.0,-4863000.0,4161000.0,,,,-374000.0,644000.0,145000.0,,,424000.0,4477000,-210000.0,17478000.0,13317000.0,-17199000.0,0,,-1684000.0
VBFC,2018-12-31,-197000.0,2823000.0,27423000.0,,,,-400000.0,724000.0,7089000.0,,,1733000.0,3037000,543000.0,34962000.0,12679000.0,-40318000.0,0,,4869000.0
VBFC,2017-12-31,-966000.0,11266000.0,28347000.0,,,,-408000.0,742000.0,8242000.0,,,6014000.0,-3096000,-344000.0,35805000.0,11403000.0,-38033000.0,0,,-6213000.0
VBFC,2016-12-31,-912000.0,-11468000.0,18429000.0,,,,448000.0,765000.0,1312000.0,,,-5466000.0,13513000,-1284000.0,14402000.0,-4027000.0,-21180000.0,0,,-5565000.0
OFG,2019-12-31,-12966000.0,60471000.0,-265162000.0,,,-20884000.0,53646000.0,9683000.0,109617000.0,,,402694000.0,53841000,-21229000.0,-549096000.0,-264344000.0,842173000.0,0,1294000.0,843948000.0
OFG,2018-12-31,-11491000.0,14525000.0,100147000.0,,,-24820000.0,52408000.0,10217000.0,133355000.0,,,-38170000.0,84410000,4052000.0,317242000.0,241407000.0,-488767000.0,0,508000.0,-55510000.0
OFG,2017-12-31,-6469000.0,73178000.0,125991000.0,,,-24415000.0,26724000.0,10459000.0,151440000.0,,,-25236000.0,52646000,41206000.0,-363980000.0,-465556000.0,187304000.0,0,508000.0,268837000.0
OFG,2016-12-31,-5297000.0,11192000.0,-61078000.0,,,-24003000.0,59389000.0,11097000.0,78512000.0,,,-26270000.0,59186000,-6862000.0,-672843000.0,-587447000.0,568061000.0,0,508000.0,341938000.0
BMRN,2019-12-31,-145026000.0,67902000.0,-58518000.0,-37852000.0,-107554000.0,,-808000.0,105300000.0,48262000.0,902000.0,-42680000.0,-56536000.0,-23848000,-32775000.0,-74674000.0,-5087000.0,-31026000.0,77089000,31611000.0,108188000.0
BMRN,2018-12-31,-144620000.0,56968000.0,-44623000.0,-54274000.0,-23747000.0,,-10000.0,89871000.0,20208000.0,-598000.0,-35919000.0,-104046000.0,-77211000,-9788000.0,-388007000.0,-374953000.0,264351000.0,38389000,67488000.0,358981000.0
BMRN,2017-12-31,-199219000.0,114387000.0,-1894000.0,-25256000.0,-96890000.0,,-1753000.0,87861000.0,-8757000.0,-3231000.0,-33507000.0,189698000.0,-117042000,-17334000.0,507145000.0,481687000.0,-305459000.0,45517000,60859000.0,-229487000.0
BMRN,2016-12-31,-148380000.0,465737000.0,-588000.0,-51483000.0,-64512000.0,,-698000.0,96912000.0,-227837000.0,-3934000.0,-59469000.0,11290000.0,-630210000,8924000.0,727108000.0,481687000.0,-484047000.0,-53205000,787165000.0,-332180000.0
QNST,2019-06-30,-1972000.0,-27938000.0,-1952000.0,-8321000.0,,,56000.0,6675000.0,37965000.0,26000.0,-9891000.0,-3052000.0,62480000,-1811000.0,-4054000.0,,-36989000.0,4580000,7789000.0,
QNST,2018-06-30,-610000.0,9548000.0,-1952000.0,-24958000.0,,,1061000.0,4967000.0,26979000.0,105000.0,-7134000.0,15129000.0,15930000,11753000.0,3894000.0,,-15849000.0,6939000,11028000.0,
QNST,2017-06-30,-1160000.0,11143000.0,-1952000.0,2868000.0,,,-26000.0,8477000.0,18536000.0,-33000.0,-3505000.0,-3373000.0,-12208000,36000.0,-18505000.0,,-3371000.0,5320000,11028000.0,
QNST,2016-06-30,-1859000.0,11692000.0,-1952000.0,-1767000.0,,,139000.0,12687000.0,1015000.0,-74000.0,-2482000.0,-6758000.0,-19420000,-3568000.0,-2497000.0,,-5202000.0,-1009000,26000.0,
CRWS,2020-03-29,-705000.0,-106000.0,,-31000.0,1802000.0,-3248000.0,,3054000.0,8532000.0,,-82000.0,139000.0,6561000,-1528000.0,-7715000.0,-1908000.0,-678000.0,-1330000,63000.0,
CRWS,2019-03-31,-751000.0,562000.0,,726000.0,254000.0,-3228000.0,,1370000.0,8974000.0,,-95000.0,-72000.0,5019000,531000.0,-8295000.0,-4972000.0,-751000.0,402000,63000.0,
CRWS,2018-04-01,-221000.0,1578000.0,,-2884000.0,297000.0,-3221000.0,,1096000.0,2453000.0,,-56000.0,-7677000.0,3021000,974000.0,5336000.0,8613000.0,-15466000.0,-1702000,63000.0,
CRWS,2017-04-02,-191000.0,1505000.0,,5182000.0,-1036000.0,-3206268.0,,932000.0,10389000.0,,-947000.0,318000.0,5572000,-2275000.0,-9880000.0,8613000.0,-191000.0,509000,786000.0,
BJRI,2019-12-31,-82157000.0,37733000.0,,12146000.0,-969000.0,-10003000.0,,72006000.0,115999000.0,,-83774000.0,-6830000.0,45238000,-40356000.0,-44711000.0,48000000.0,-78118000.0,-9799000,1066000.0,
BJRI,2019-01-01,-60964000.0,9492000.0,,-15815000.0,381000.0,-9491000.0,,70439000.0,132917000.0,,-20714000.0,4889000.0,50810000,12864000.0,-72565000.0,-68500000.0,-55463000.0,4746000,26140000.0,
BJRI,2018-01-02,-70736000.0,-4571000.0,,-210000.0,-607000.0,-2269000.0,,68665000.0,107036000.0,,-67244000.0,1574000.0,44780000,240000.0,-52631000.0,15500000.0,-52831000.0,-1261000,1382000.0,
BJRI,2017-01-03,-109363000.0,15571000.0,,9904000.0,-1014000.0,-2269000.0,,64275000.0,138359000.0,,-95309000.0,-11843000.0,45557000,3524000.0,-45350000.0,47500000.0,-104852000.0,542000,2126000.0,
MSTR,2019-12-31,-10182000.0,4923000.0,,-3672000.0,,,,16699000.0,60867000.0,-1374000.0,-72719000.0,347030000.0,34355000,-4953000.0,-66150000.0,,353687000.0,13515000,6569000.0,363869000.0
MSTR,2018-12-31,-6846000.0,8427000.0,,-8357000.0,,,,1202000.0,10627000.0,-3444000.0,-110977000.0,-310396000.0,22501000,3103000.0,-108515000.0,,-209064000.0,-18748000,2471000.0,-202218000.0
MSTR,2017-12-31,-3982000.0,12931000.0,,15348000.0,,,,15532000.0,78322000.0,8222000.0,-110977000.0,18470000.0,18195000,25998000.0,1656000.0,,-69730000.0,-9682000,1677000.0,-65748000.0
MSTR,2016-12-31,-2337000.0,5953000.0,,-16878000.0,,,,12587000.0,110589000.0,-4176000.0,-3739000.0,109753000.0,92239000,-7341000.0,-1004000.0,,4344000.0,16672000,1663000.0,6681000.0
CVBF,2019-12-31,-5522000.0,-18556000.0,-122562000.0,,,-95352000.0,7345000.0,22036000.0,208182000.0,,-2640000.0,21570000.0,207827000,-3125000.0,-511935000.0,-293596000.0,325323000.0,0,2215000.0,86117000.0
CVBF,2018-12-31,-4194000.0,-715000.0,-589349000.0,,,-65966000.0,23058000.0,8349000.0,164953000.0,,-7760000.0,19571000.0,152003000,5316000.0,-956463000.0,-295089000.0,811081000.0,0,1701000.0,1096122000.0
CVBF,2017-12-31,-4893000.0,1648000.0,-97953000.0,,,-57047000.0,4605000.0,2657000.0,138409000.0,,-1128000.0,22744000.0,104411000,29693000.0,-255700000.0,-102255000.0,140035000.0,0,2683000.0,245131000.0
CVBF,2016-12-31,-12615000.0,13417000.0,178656000.0,,,-51625000.0,1423000.0,5324000.0,124532000.0,,-1907000.0,15536000.0,101429000,4362000.0,45020000.0,-85255000.0,-154016000.0,0,5151000.0,67418000.0
RVMD,2019-12-31,-2589000.0,3534000.0,-1602000.0,-1434000.0,,,,2242000.0,-49616000.0,,-45000.0,-52927000.0,-47664000,5107000.0,98658000.0,,-101969000.0,-12501000,277000.0,-105576000.0
RVMD,2018-12-31,-1499000.0,3177000.0,-1602000.0,-7303000.0,,,,1566000.0,1213000.0,,-131000.0,60721000.0,-41789000,756000.0,60847000.0,,-1339000.0,44608000,420000.0,-105576000.0
RVMD,2017-12-31,-1575000.0,141000.0,-1602000.0,-7303000.0,,,,1188000.0,-25148000.0,,-131000.0,-4061000.0,-31127000,2682000.0,22662000.0,,-1575000.0,1968000,74000.0,-105576000.0
ALKS,2019-12-31,-90942000.0,122878000.0,,29980000.0,-13077000.0,,,80413000.0,72077000.0,,-9317000.0,-62991000.0,-196620000,-2484000.0,6765000.0,-2843000.0,-141833000.0,50987000,18925000.0,-52916000.0
ALKS,2018-12-31,-69431000.0,142352000.0,,-57752000.0,-2665000.0,,,103660000.0,99281000.0,,-19622000.0,75466000.0,-139311000,3006000.0,-1620000.0,-743000.0,-22195000.0,49991000,20877000.0,46729000.0
ALKS,2017-12-31,-51300000.0,83493000.0,,-42489000.0,-30191000.0,,,98523000.0,19190000.0,,-16433000.0,4918000.0,-157945000,-3412000.0,4084000.0,-743000.0,-18356000.0,71211000,23517000.0,32782000.0
ALKS,2016-12-31,-43657000.0,77589000.0,,-35616000.0,-26381000.0,,,94256000.0,-63802000.0,,-13467000.0,5269000.0,-208444000,-10427000.0,-58172000.0,-3429000.0,127243000.0,45221000,20308000.0,170706000.0
DX,2019-12-31,,327655000.0,-185000.0,,,-68042000.0,-185041000.0,1684000.0,175346000.0,,-25330000.0,45526000.0,-152668000,-1412000.0,1473882000.0,1483626000.0,-1603702000.0,5277000,63889000.0,-1420764000.0
DX,2018-12-31,,171049000.0,-10000.0,,,-52790000.0,-6237000.0,1232000.0,180560000.0,,-364000.0,1504000.0,7023000,-4118000.0,690281000.0,699988000.0,-869337000.0,6574000,41858000.0,-867310000.0
DX,2017-12-31,,168071000.0,-61000.0,,,-47532000.0,21780000.0,1287000.0,204448000.0,,-521000.0,-11689000.0,33893000,42000.0,-303570000.0,-333988000.0,87433000.0,578000,47182000.0,62267000.0
DX,2016-12-31,,163179000.0,-201000.0,,,-51900000.0,-60625000.0,1502000.0,210514000.0,,-795000.0,13764000.0,43099000,-1047000.0,-264718000.0,-212507000.0,67968000.0,1413000,137000.0,123640000.0
CLGN,2019-12-31,-1491000.0,4675000.0,-17000.0,437000.0,-74000.0,,,539000.0,-5703000.0,62000.0,,-1692000.0,-11164000,664000.0,5410000.0,-20000.0,-1461000.0,-780000,5447000.0,
CLGN,2018-12-31,-832000.0,3543000.0,-70000.0,-439000.0,-653000.0,,,342000.0,-1217000.0,-325000.0,,379000.0,-6249000,319000.0,2753000.0,46000.0,-832000.0,1920000,2777000.0,
CLGN,2017-12-31,-127000.0,996000.0,-70000.0,-38000.0,-59000.0,,,230000.0,-4966000.0,139000.0,,4152000.0,-6051000,498000.0,9106000.0,46000.0,-127000.0,-542000,9176000.0,
CLGN,2016-12-31,-492000.0,3737000.0,-19000.0,-544000.0,-487000.0,,,774000.0,-19357000.0,-157000.0,,-1520000.0,-27893000,2468000.0,18486000.0,46000.0,-492000.0,2498000,18505000.0,
EDSA,2019-09-30,-10793.0,43869.0,,12983.0,103884.0,,,6372.0,-6461048.0,121739.0,,2217979.0,-3702311,-415288.0,,,8557289.0,-2510557,,
EDSA,2018-12-31,-6869.0,81344.0,,4029.0,103884.0,,,1655.0,-1288830.0,-337325.0,,-1633024.0,-1536556,81658.0,,,-6869.0,79040,,
EDSA,2017-12-31,-958.0,149448.0,,8568.0,103884.0,,,595.0,-882690.0,-43429.0,,4983829.0,-875707,-89731.0,,,-958.0,-75863,,
CAH,2019-06-30,-328000000.0,-396000000.0,,-751000000.0,-551000000.0,-577000000.0,,1000000000.0,2722000000.0,1000000.0,-614000000.0,768000000.0,1363000000,193000000.0,-2293000000.0,-1102000000.0,338000000.0,1864000000,,-15000000.0
CAH,2018-06-30,-384000000.0,571000000.0,,-871000000.0,-1211000000.0,-581000000.0,,1032000000.0,2768000000.0,4000000.0,-553000000.0,-5116000000.0,256000000,417000000.0,-2276000000.0,-1001000000.0,-5608000000.0,2574000000,,56000000.0
CAH,2017-06-30,-387000000.0,446000000.0,,-665000000.0,-673000000.0,-577000000.0,,717000000.0,1184000000.0,-2000000.0,-600000000.0,4523000000.0,1288000000,-493000000.0,3746000000.0,4864000000.0,-405000000.0,564000000,,111000000.0
CAH,2016-06-30,-465000000.0,280000000.0,,-866000000.0,-1179000000.0,-512000000.0,,641000000.0,2971000000.0,-12000000.0,-651000000.0,-2260000000.0,1427000000,-147000000.0,-1139000000.0,20000000.0,-4080000000.0,2815000000,,-14000000.0
UE,2019-12-31,,-26909000.0,-8343000.0,6734000.0,,-106163000.0,19626000.0,77845000.0,156400000.0,,-6611000.0,27614000.0,109523000,-14741000.0,-126265000.0,-5587000.0,-2521000.0,1092000,439000.0,
UE,2018-12-31,,-24618000.0,-11116000.0,-13327000.0,,-100244000.0,1300000.0,66088000.0,137040000.0,,-385000.0,-43319000.0,105150000,-2808000.0,-115556000.0,-4288000.0,-64803000.0,3676000,477000.0,
UE,2017-12-31,,18358000.0,-560307000.0,-13749000.0,,-95381000.0,1300000.0,73009000.0,157898000.0,,-287000.0,360655000.0,67070000,-8542000.0,498489000.0,806060000.0,-295732000.0,18876000,348404000.0,
UE,2016-12-31,,-3929000.0,-5071000.0,-78000.0,,-81240000.0,1300000.0,50402000.0,137249000.0,,-38000.0,-37839000.0,90815000,-3674000.0,-115858000.0,-38458000.0,-59230000.0,883000,8949000.0,
IHG,2019-12-31,-80000000.0,165000000.0,-2000000.0,-50000000.0,,-211000000.0,,89000000.0,653000000.0,8000000.0,-5000000.0,-492000000.0,385000000,-11000000.0,-660000000.0,68000000.0,-493000000.0,-6000000,,-15000000.0
IHG,2018-12-31,-51000000.0,90000000.0,2000000.0,-43000000.0,,-199000000.0,,91000000.0,709000000.0,-21000000.0,-3000000.0,542000000.0,349000000,-3000000.0,51000000.0,251000000.0,-197000000.0,152000000,,6000000.0
IHG,2017-12-31,-50000000.0,-76000000.0,-3000000.0,-71000000.0,,-189000000.0,,153000000.0,616000000.0,16000000.0,-3000000.0,-59000000.0,534000000,-5000000.0,-471000000.0,128000000.0,-220000000.0,81000000,,18000000.0
IHG,2016-12-31,-37000000.0,31000000.0,-6000000.0,-27000000.0,,-193000000.0,,106000000.0,710000000.0,-61000000.0,-10000000.0,-981000000.0,456000000,-4000000.0,-1456000000.0,253000000.0,-174000000.0,148000000,,18000000.0
ATXI,2019-12-31,,1839000.0,-2667000.0,,,,,,-26259000.0,,,6074000.0,-25908000,1043000.0,32333000.0,,,-3233000,35000000.0,
ATXI,2018-12-31,,1537000.0,-895000.0,,,,,,-18216000.0,,,-9111000.0,-21548000,236000.0,-895000.0,,,1559000,35000000.0,
ATXI,2017-12-31,,3205000.0,-3715000.0,,,,,,-6802000.0,,,11585000.0,-12258000,-491000.0,28387000.0,,,2568000,37950000.0,
ATXI,2016-12-31,,340000.0,-58000.0,,,,,,-1632000.0,,,183000.0,-3177000,1067000.0,1815000.0,,,15000,37950000.0,
STWD,2019-12-31,-30865000.0,-527586000.0,106739000.0,,,-538424000.0,-4079000.0,113394000.0,-13199000.0,-1488000.0,,86166000.0,509664000,-32905000.0,876721000.0,1307639000.0,-775868000.0,-5458000,767000.0,114800000.0
STWD,2018-12-31,-54772000.0,56410000.0,-217954000.0,,,-509966000.0,-9058000.0,130838000.0,585470000.0,207000.0,,69592000.0,385830000,9881000.0,2004724000.0,2744126000.0,-2520809000.0,25155000,608000.0,-74688000.0
STWD,2017-12-31,-573930000.0,-677210000.0,-26843000.0,,,-501663000.0,-8911000.0,90896000.0,-246839000.0,3233000.0,,-232482000.0,400770000,-30749000.0,1047684000.0,1575488000.0,-1036560000.0,22702000,702000.0,128044000.0
STWD,2016-12-31,-15963000.0,165582000.0,23724000.0,,,-458351000.0,57977000.0,61571000.0,556630000.0,-2734000.0,,258871000.0,365186000,9246000.0,505513000.0,510633000.0,-800538000.0,-6741000,449230000.0,-228079000.0
ETNB,2019-12-31,-139000.0,31006000.0,,,,,,17000.0,-25460000.0,,,82103000.0,-57420000,1457000.0,107702000.0,,-139000.0,-520000,87702000.0,
ETNB,2018-12-31,-42545.0,1164000.0,,,,,,6545.0,-13602544.0,,,12280363.0,-17646544,1227273.0,25925452.0,,-42545.0,1646182,87702000.0,
CSPR,2019-12-31,-54813000.0,13871000.0,,-7953000.0,-6655000.0,,4000000.0,7753000.0,-44328000.0,488000.0,,39223000.0,-93040000,38003000.0,133876000.0,51303000.0,-50813000.0,3693000,1414000.0,
CSPR,2018-12-31,-13035000.0,5598000.0,,-10450000.0,-8688000.0,,1000000.0,3426000.0,-72255000.0,-1077000.0,,-70527000.0,-92092000,13308000.0,14840000.0,14565000.0,-12035000.0,16643000,275000.0,
CSPR,2017-12-31,-5085000.0,1920000.0,,-8127000.0,-15333000.0,,-5000000.0,1675000.0,-84015000.0,279000.0,,75473000.0,-73392000,6677000.0,169294000.0,14565000.0,-10085000.0,2565000,196000.0,
PHAS,2019-12-31,-960000.0,1921000.0,-145000.0,-1000000.0,,,,174000.0,-39594000.0,,,12974000.0,-39247000,-2244000.0,53528000.0,7151000.0,-960000.0,802000,46522000.0,
PHAS,2018-12-31,-119000.0,4661000.0,-145000.0,-233000.0,,,,105000.0,-17053000.0,,,47625000.0,-23846000,923000.0,64797000.0,3995000.0,-119000.0,1337000,43090000.0,
PHAS,2017-12-31,-216000.0,1826000.0,-145000.0,-233000.0,,,,96000.0,-8259000.0,,,9691000.0,-10247000,279000.0,18166000.0,18163000.0,-216000.0,-213000,3000.0,
PHAS,2016-12-31,-94000.0,-92000.0,-145000.0,-233000.0,,,,92000.0,-9688000.0,,,-438000.0,-9220000,-124000.0,1000.0,18163000.0,9249000.0,-344000,1000.0,
ZYXI,2019-12-31,-160000.0,337000.0,,-3042000.0,-2360000.0,-2262000.0,,778000.0,6303000.0,,-171000.0,3912000.0,9492000,313000.0,-2231000.0,-19000.0,-160000.0,785000,221000.0,
